Date,SP500-EPS-Index,SP500-EPS-Ensemble-Pred,SP500-EPS-Ensemble_Pred_Smth,SP500-EPS-Ensemble-Pred-Smth
1993-04-01,334.939704753634,340.7466038528297,5.058750174206455e-15,-9.539988854129597e-27
1993-05-01,332.157218072549,340.7466038528297,5.30836551205456e-15,-9.953178549223472e-27
1993-06-01,329.206514575379,340.7466038528297,5.453167453802939e-15,-1.060732183910037e-26
1993-07-01,335.294584987093,348.99457407812633,5.6235332995835906e-15,-1.1127618661329624e-26
1993-08-01,341.474017392837,348.99457407812633,5.635348027963229e-15,-1.1268620050319357e-26
1993-09-01,347.618489417427,373.31136661198167,5.957319059763566e-15,-1.1041652152772721e-26
1993-10-01,356.051441291933,373.31136661198167,5.4914014714464275e-15,-1.1349912772118414e-26
1993-11-01,364.474339032868,373.31136661198167,5.531112239118792e-15,-1.1699092572834384e-26
1993-12-01,372.742859405667,395.1257366924628,5.719062725782323e-15,-1.1488444822838005e-26
1994-01-01,377.488062003346,395.1257366924628,5.82539927987046e-15,-1.1287529560290233e-26
1994-02-01,382.092351447993,424.14754432195934,5.903399370936722e-15,-1.0760954780314776e-26
1994-03-01,386.83881845025894,424.14754432195934,5.9750698180926924e-15,-1.0198260396453088e-26
1994-04-01,400.8879525209281,424.14754432195934,6.097287837711787e-15,-1.1438574188972579e-26
1994-05-01,415.101387222856,366.38262369325514,6.039462366365272e-15,-1.2297403179267094e-26
1994-06-01,429.158357103654,427.45482514099126,6.161598718900212e-15,-1.3126045730198538e-26
1994-07-01,441.325560966261,427.45482514099126,6.2902751090542136e-15,-1.1899115139596831e-26
1994-08-01,453.358491742339,427.45482514099126,6.3337267088062565e-15,-1.0950507268442158e-26
1994-09-01,465.353832986173,427.45482514099126,6.4792255304637715e-15,-1.0552712243440064e-26
1994-10-01,484.022590242297,427.45482514099126,6.311161580977884e-15,-1.0766902290309558e-26
1994-11-01,502.660772449519,427.45482514099126,6.186673127468759e-15,-1.1019160798575472e-26
1994-12-01,520.997283855897,427.45482514099126,6.1721258681090455e-15,-1.0687628979468405e-26
1995-01-01,532.154037943146,427.45482514099126,6.646178276395655e-15,-1.1606557488133204e-26
1995-02-01,543.195500287479,427.45482514099126,6.3577625850586594e-15,-1.2102908159875159e-26
1995-03-01,554.385780476539,427.45482514099126,6.497779238883124e-15,-1.1610975388449482e-26
1995-04-01,565.011452283861,427.45482514099126,6.3025022988589e-15,-1.0508096862800794e-26
1995-05-01,575.556237541016,427.45482514099126,6.5470916344380575e-15,-9.321037459113766e-27
1995-06-01,586.202092613324,427.45482514099126,6.765275564827914e-15,-8.377709322001514e-27
1995-07-01,590.70873169425,427.45482514099126,6.848777378678601e-15,-8.038361165893418e-27
1995-08-01,594.773493790844,427.45482514099126,6.7655441347834694e-15,-8.11331357004455e-27
1995-09-01,599.219292294842,427.45482514099126,7.105154008564289e-15,-8.484899507100356e-27
1995-10-01,592.3530374730551,427.45482514099126,6.430054542973155e-15,-9.054880234898444e-27
1995-11-01,585.2625823505019,428.5876026548435,6.73499222915313e-15,-9.741816744618624e-27
1995-12-01,578.280382340621,482.1068915696902,7.156701075147083e-15,-1.0480495006004607e-26
1996-01-01,578.778774216948,482.1068915696902,7.301167953177376e-15,-1.1302510377038491e-26
1996-02-01,579.186207985377,482.1068915696902,7.323164895869398e-15,-1.2127977537143084e-26
1996-03-01,579.715384901532,482.1068915696902,7.315447187970751e-15,-1.3288130657023494e-26
1996-04-01,584.7263972763928,482.1068915696902,7.381108383724069e-15,-1.3563632380597453e-26
1996-05-01,589.610026027913,424.4749350906334,7.29258238956589e-15,-1.4140941393709492e-26
1996-06-01,594.536211143929,545.465186668426,7.725768881660751e-15,-1.4433505696631794e-26
1996-07-01,600.728138911366,545.465186668426,8.152490995301417e-15,-1.498300205187736e-26
1996-08-01,606.7874602968,545.465186668426,8.028904652701219e-15,-1.5151527343985164e-26
1996-09-01,613.014805691229,545.465186668426,8.090573243779254e-15,-1.5649052465440627e-26
1996-10-01,628.774597355567,545.465186668426,8.02770959167606e-15,-1.609182917821298e-26
1996-11-01,644.182790597886,545.465186668426,7.948183707173525e-15,-1.483100423657787e-26
1996-12-01,659.6379312462649,545.465186668426,8.186000412158985e-15,-1.4487439842184107e-26
1997-01-01,668.185302147721,592.2694195693185,8.925859622821413e-15,-1.5161762418013166e-26
1997-02-01,676.8319161775831,592.2694195693185,8.438799571988638e-15,-1.6336421835075662e-26
1997-03-01,685.192926116107,592.2694195693185,8.61311598517879e-15,-1.7483750079117328e-26
1997-04-01,686.9407320184691,592.2694195693185,8.471825604723979e-15,-1.8206691497725145e-26
1997-05-01,688.763903865145,592.2694195693185,8.828632469195197e-15,-1.8362065878917204e-26
1997-06-01,690.619388532931,592.2694195693185,8.419814827140304e-15,-1.7982884815074186e-26
1997-07-01,691.176079400028,592.2694195693185,8.37038770930807e-15,-1.7204269692543898e-26
1997-08-01,691.722535397172,592.2694195693185,8.118203762915593e-15,-1.6192872673246124e-26
1997-09-01,692.046434675015,592.2694195693185,6.3283998815209026e-15,-1.50739501281088e-26
1997-10-01,686.99797240986,592.2694195693185,7.824447166168412e-15,-1.400491697560326e-26
1997-11-01,681.6261762814011,592.2694195693185,8.284220622123671e-15,-1.221314762821237e-26
1997-12-01,676.447879899459,592.2694195693185,9.267743438140357e-15,-1.2631327283345404e-26
1998-01-01,675.471100642839,488.0255603348146,7.990617231871984e-15,-1.2828374416482792e-26
1998-02-01,674.488893854436,452.0942189388352,6.8589638692339985e-15,-1.1947205474560932e-26
1998-03-01,673.511759348157,334.1561431386988,6.5199835241495465e-15,-1.094369783391884e-26
1998-04-01,670.280231632459,334.1561431386988,6.387383083398891e-15,-8.492118601613871e-27
1998-05-01,667.057998104524,618.3958949162304,6.799421087235748e-15,-7.315328234824245e-27
1998-06-01,663.756343525086,539.3093266321195,5.378304382530804e-15,-7.305727703262555e-27
1998-07-01,658.794807637264,539.3093266321195,6.380326346615303e-15,-8.495385660721194e-27
1998-08-01,653.6459363528799,265.29453671141806,7.553312339359118e-15,-9.745563033533151e-27
1998-09-01,648.609743805922,265.29453671141806,8.117309136490357e-15,-1.1129960594378545e-26
1998-10-01,646.47869224139,265.29453671141806,8.09170263571534e-15,-1.2396508731157208e-26
1998-11-01,644.331750876201,265.29453671141806,9.599394052710641e-15,-1.3472743960213123e-26
1998-12-01,642.205309736418,265.29453671141806,1.0246900199995797e-14,-1.434606659830919e-26
1999-01-01,646.0532389697651,265.29453671141806,8.761886259316468e-15,-1.503606892177006e-26
1999-02-01,649.855349312867,658.6222288999783,8.40241051132747e-15,-1.5544919053014964e-26
1999-03-01,653.735530040638,732.8158835131741,7.086401215218859e-15,-1.602318350412621e-26
1999-04-01,668.6054988570071,732.8158835131741,8.074864250732002e-15,-1.6380658179360855e-26
